Ticker,Return,Volume Change Rate,Original Ticker
컴퍼니케이,29.98,52011.941,307930.KS
예스24,29.807,437.154,053280.KS
예림당,29.792,286.185,036000.KS
올릭스,24.826,383.477,226950.KS
밀리의서재,23.627,57905.033,418470.KS
압타머사이언스,23.493,1397.709,291650.KS
디엔에이링크,17.268,389.52,127120.KS
스맥,16.667,5148.303,099440.KS
대명소노시즌,15.866,82.902,007720.KS
에이비엘바이오,15.385,354.421,298380.KS
SG,14.629,259.553,255220.KS
다산네트웍스,14.241,17148.156,039560.KS
이미지스,12.987,866.557,115610.KS
큐리옥스바이오시스템즈,12.978,1961.788,445680.KS
스마트레이더시스템,9.412,444.863,424960.KS
에이스테크,9.286,1008.476,088800.KS
퓨쳐켐,9.125,174.496,220100.KS
브릿지바이오테라퓨틱스,8.921,46.155,288330.KS
미스터블루,8.61,8719.012,207760.KS
하나마이크론,8.513,409.502,067310.KS
HPSP,8.32,458.916,403870.KS
소룩스,7.987,22.188,290690.KS
오스테오닉,6.83,364.831,226400.KS
이오테크닉스,6.83,90.232,039030.KS
지니너스,6.667,-68.674,389030.KS
에이티넘인베스트,6.54,24765.987,021080.KS
큐리언트,6.339,277.875,115180.KS
이건홀딩스,6.181,450.243,039020.KS
캠시스,6.159,13646.549,050110.KS
바이오스마트,6.094,847.588,038460.KS
플루토스,5.97,421.479,019570.KS
삼천당제약,5.789,-11.432,000250.KS
대성창투,5.728,7521.568,027830.KS
휴젤,5.579,114.366,145020.KS
엑스페릭스,5.566,156.502,317770.KS
미코,5.317,68.867,059090.KS
프레스티지바이오로직스,5.308,-51.717,334970.KS
씨싸이트,5.283,385.623,109670.KS
엔에스이엔엠,5.275,81.139,078860.KS
하이소닉,5.184,56.044,106080.KS
지니뮤직,5.155,2127.862,043610.KS
리노공업,5.149,-1.822,058470.KS
캐리소프트,5.148,387.434,317530.KS
진시스템,5.133,-0.981,363250.KS
메드팩토,5.111,91.529,235980.KS
포인트엔지니어링,5.06,278.881,256630.KS
에스와이스틸텍,4.982,70.014,365330.KS
트윔,4.937,1035.054,290090.KS
휴맥스홀딩스,4.887,765.055,028080.KS
싸이토젠,4.818,2.779,217330.KS
대화제약,4.782,-59.976,067080.KS
케이씨피드,4.77,28.394,025880.KS
가비아,4.755,791.72,079940.KS
현대ADM,4.746,12.899,187660.KS
알테오젠,4.607,32.841,196170.KS
지놈앤컴퍼니,4.587,247.056,314130.KS
현대무벡스,4.523,1344.884,319400.KS
지아이이노베이션,4.495,30.399,358570.KS
파이버프로,4.369,16.227,368770.KS
휴림네트웍스,4.364,-1.703,192410.KS
세코닉스,4.301,16087.795,053450.KS
압타바이오,4.279,268.809,293780.KS
휴림로봇,4.241,616.518,090710.KS
엑스큐어,4.24,324.037,070300.KS
세중,4.183,222.985,039310.KS
피플바이오,4.167,163.926,304840.KS
엑셈,4.075,8922.131,205100.KS
현대에버다임,4.058,181.756,041440.KS
제이앤티씨,4.045,41.971,204270.KS
휴온스글로벌,4.03,62.885,084110.KS
인벤티지랩,3.908,-10.29,389470.KS
율호,3.883,31.339,072770.KS
가온칩스,3.791,148.539,399720.KS
아바텍,3.761,200.82,149950.KS
유니테스트,3.743,128.834,086390.KS
파로스아이바이오,3.549,-78.527,388870.KS
YBM넷,3.501,228.439,057030.KS
딥노이드,3.417,652.718,315640.KS
듀오백,3.386,-15.303,073190.KS
휴메딕스,3.343,3.928,200670.KS
펌텍코리아,3.343,77.348,251970.KS
바이넥스,3.333,46.407,053030.KS
피피아이,3.292,57.437,062970.KS
젬백스,3.275,-31.422,082270.KS
에스트래픽,3.246,-49.797,234300.KS
브랜드엑스코퍼레이션,3.245,-3.165,337930.KS
아이엠티,3.222,331.577,451220.KS
하나금융22호스팩,3.182,-82.036,418170.KS
코미팜,3.171,69.898,041960.KS
다보링크,3.086,52.761,340360.KS
스튜디오미르,3.085,8.237,408900.KS
KS인더스트리,3.061,-10.132,101000.KS
NE능률,3.046,1612.375,053290.KS
미래에셋벤처투자,3.03,142.74,100790.KS
유틸렉스,2.96,58.647,263050.KS
바이젠셀,2.882,62.868,308080.KS
아이톡시,2.867,38.811,052770.KS
