Title,Date,Press,Description
"[속보] 尹대통령-이시바 日 총리, 라오스서 첫 정상회담",2024.10.09.,한국경제언론사 선정,윤석열 대통령은 아세안(ASEAN·동남아시아국가연합) 정상회의 참석을 계기로 이시바 시게루 일본 총리와 정상회담을 한다고 대통령실이 9일 밝혔다. 이로써 윤 대통령은 지난 1일 취임한 이시바 총리와 처음 대좌하게 됐다. 윤 대통령은 이시바 총리가 취임한 다음 날인 지난 2일 취임 축하 통화를 하면서 한일...
"[속보]대통령실, 세계국채지수 편입 성공에 ""자본시장 글로벌 중추국가...",2024.10.09.,파이낸셜뉴스언론사 선정,"대통령실은 9일 우리나라의 세계국채지수(WGBI) 편입 성공에 대해 ""자본시장 측면에서의 글로벌 중추국가를 실현한 사례""라면서 ""건전 재정기조를 비롯한 우리경제의 견고한 펀더멘털에 대한 국제사회의 높은 평가가 이뤄낸 쾌거""라고 밝혔다. 대통령실은 이날 기자들에게 ""국채시장을 비롯한 우리 자본시장이..."
"[속보] 합참 ""북한군 요새화는 김정은 정권의 혹독한 고립 초래""",2024.10.09.,중앙일보언론사 선정,합동참모본부가 9일 북한이 군사분계선(MDL) 인근에서 요새화 작업을 실시한다고 발표한 데 대해 “차단 및 봉쇄 운운은 실패한 김정은 정권의 불안감에서 비롯된 궁여지책에 불과하며 앞으로 더욱 혹독한 고립을 초래할 것”이라고 밝혔다. 합참은 이날 ‘북한 총참모부 보도에 대한 우리 군의 입장’을 통해...
"[속보] 북 ""남측 연결 도로·철도 단절하고 요새화 공사""",2024.10.09.,YTN언론사 선정,"북한이 오늘부터 남측과 연결된 도로와 철길을 완전히 단절하고 방어 구조물을 요새화하는 공사를 진행한다고 선언했습니다. 조선인민군총참보부는 조선중앙통신에 올린 보도문을 통해, 대한민국과 연결된 우리 측 지역의 도로와 철길을 완전히 끊어버리고 견고한 방어 축성물로 요새화하는 공사가 진행된다고..."
[속보] 노벨 화학상에 '구글 딥마인드'…AI로 단백질 구조 예측,2024.10.09.,뉴스1언론사 선정,"올해 노벨화학상은 단백질의 구조 및 기능을 예측하는 인공지능(AI) '알파폴드'를 개발한 세 명의 과학자가 수상했다. 스웨덴 왕립과학원 노벨위원회는 9일 데이비드 베이커 미국 워싱턴대 교수, 데미스 허사비스 구글 딥마인드 최고경영자(CEO), 존 점퍼 딥마인드 수석연구원을 노벨화학상 수상자로..."
[속보] 일본 중의원 해산…이달 27일 총선거 실시,2024.10.09.,디지털타임스,이시바 시게루 일본 총리는 9일 임시 각의(국무회의)를 열고 중의원 해산을 결정했다. 일본 중의원 해산은 전임 기시다 후미오 내각 시절이던 2021년 10월 14일 이후 약 3년 만이다. 각의 결정이후 누카가 후쿠시로 중의원 의장이 오후 본회의에서 조서를 읽는 것으로 해산이 선포됐다. 이시바 총리는 취임 8일...
[속보] 노벨 화학상에 베이커·점퍼·허사비스 공동수상,2024.10.09.,매일경제언론사 선정,"올해 노벨 화학상은 ‘단백질 설계 예측’에 기여한 미국 생화학자 데이비드 베이커와 단백질 구조를 파악하는 인공지능(AI) 모델을 개발한 구글의 AI 기업 딥마인드의 데미스 허사비스, 존 점퍼의 품에 안겼다. 스웨덴 왕립과학원 노벨위원회는 이 같은 공로로 세 사람을 공동 수상자로 선정했다고 9일..."
[속보]올해 노벨 화학상에 구글 딥마인드 허사비스 등 3인…AI로 단백질...,2024.10.09.,경향신문언론사 선정,올해 노벨 화학상 수상의 영예는 몸속 필수 성분인 단백질의 구조를 분석한 연구자 3명에게 돌아갔다. 수상자에는 세계 인공지능(AI) 흐름을 주도하고 있는 데미스 허사비스 구글 딥마인드 최고경영자(CEO)가 포함됐다. 스웨덴 왕립과학원 노벨위원회는 9일(현지시간) 데이비드 베이커 미국 워싱턴대...
"[속보] 한국, 세계국채지수 편입 성공...최소 70조 해외자금 유입",2024.10.09.,매일경제언론사 선정,"FTSE러셀, 관찰대상국 지정 2년만에 ‘채권 선진그룹’ 편입 결정 韓주식 관찰대상국 지정 피해 공매도 제한엔 “신속한 해결” 요구 한국이 세계 3대 채권지수인 세계국채지수(WGBI) 편입에 성공했다. 2022년 9월 관찰대상국(Watch List) 지위에 오른 지 네번째 도전만이다. 세계국채지수는 블룸버그..."
[속보]MBK파트너스 “고려아연·영풍정밀 공개매수 가격 안 올린다”,2024.10.09.,문화일보언론사 선정,“현 공개매수가 충분히 높아···최윤범 회장 측 추가인상과 상관없는 결정” 고려아연 및 영풍정밀 임직원 고용보장·중국 기술 유출 가능성 일축 고려아연 경영권 확보를 위해 주식 공개매수를 진행하고 있는 MBK파트너스는 9일 “고려아연과 영풍정밀의 공개매수가격을 더 이상 올리지 않겠다”고 밝혔다....
