최종 라벨링,ROE,PER,PBR,매출성장률,부채비율,영업활동현금흐름,유동비율,유동자산,유동부채,부채,자기자본,영업현금흐름,매출6월말 ,전기매출,당기순이익,6월말 EPS,6월말 주가
1,0.254829,3.85,0.98,0.02,6.12,"5,025,992,462",39.61%,"114,842,363,296","289,949,348,456","302,393,627,093","49,427,758,603","5,025,992,462","298,737,901,737","292,195,750,354","12,595,643,704",273,1052
1,0.034297,18.99,0.65,-0.39,0.1,"323,906,999",411.53%,"57,898,136,192","14,068,861,692","19,947,289,034","205,506,405,322","323,906,999","7,531,629,011","12,278,527,565","7,048,257,077",114,2165
-1,-0.013751,-167.34,2.3,-0.22,0.87,"-12,840,153,320",170.80%,"158,113,650,249","92,570,622,330","139,523,093,637","160,867,773,015","-12,840,153,320","80,866,210,149","103,724,326,512","-2,212,165,506",-94,15730
1,0.031018,67.98,2.11,0.26,0.49,"1,715,414,473",311.38%,"43,859,483,669","14,085,505,809","26,500,590,435","53,647,978,894","1,715,414,473","16,339,388,532","13,013,117,353","1,664,058,624",84,5710
1,0.026775,27.53,0.74,0.08,0.74,"1,862,814,439",180.38%,"285,562,637,190","158,315,721,746","164,747,473,281","223,376,765,201","1,862,814,439","185,439,414,296","171,573,265,399","5,981,008,430",442,12170
-1,-0.054106,-9.51,0.51,0.08,0.66,"-8,988,519,043",59.85%,"41,635,159,330","69,568,674,573","73,958,614,755","112,375,653,574","-8,988,519,043","43,997,514,344","40,857,719,902","-6,080,222,807",-138,1312
-1,-0.012992,-29.69,0.39,-0.14,1.58,"15,242,853,949",108.65%,"257,570,548,377","237,065,130,709","354,998,289,812","223,977,360,153","15,242,853,949","372,796,008,794","435,391,991,562","-2,910,024,632",-48,1425
0,0.070245,-340.3,-23.9,11.92%,107.42%,"1,631,297,561",96.15%,"218,979,246,051","227,752,686,687","346,833,642,137","322,878,898,974","1,631,297,561","233,829,720,903","208,931,336,975","22,680,499,717",-67,22800
-1,0.088269,7.5,0.66,-0.08,1.49,"93,039,924,500",98.35%,"620,879,790,567","631,268,606,176","738,982,351,360","495,842,113,248","93,039,924,500","844,755,444,674","923,021,898,295","43,767,321,078","1,260",9450
-1,0.039191,9.53,0.37,-0.02,1.3,"-37,571,512,478",98.86%,"1,079,004,689,338","1,091,480,185,504","1,260,462,656,186","966,321,424,792","-37,571,512,478","1,362,000,663,700","1,383,916,416,832","37,870,953,653",472,4500
-1,-0.012611,104,-1.31,-0.02,4.27,"26,566,105,820",69.70%,"417,879,152,528","599,543,750,693","815,566,310,027","191,134,696,991","26,566,105,820","503,899,590,255","514,452,348,722","-2,410,373,186",9,936
0,-0.009635,-67.98,0.66,20.17%,64.38%,"-329,285,713",105.33%,"114,012,892,988","108,242,334,244","132,761,285,508","206,211,512,484","-329,285,713","99,136,733,453","82,497,288,217","-1,986,919,906",-52,3535
1,0.016429,38.4,0.63,-0.02,1.14,"6,715,099,967",48.39%,"85,978,285,310","177,663,015,706","206,721,334,836","181,061,223,320","6,715,099,967","329,962,242,629","335,555,981,669","2,974,645,282",128,4915
-1,0.018633,45.95,0.86,-0.05,0.19,"2,363,542,883",370.21%,"23,696,866,413","6,400,894,081","32,731,885,939","172,241,576,385","2,363,542,883","20,071,781,561","21,081,934,806","3,209,346,253",321,14750
-1,-0.012473,-54.09,0.67,-0.02,1.26,"13,413,395,816",104.49%,"374,961,761,659","358,859,815,304","399,339,355,143","317,204,939,099","13,413,395,816","437,195,707,092","446,766,601,875","-3,956,560,586",-32,1731
0,-0.031879,-73.75,2.35,3.61%,111.87%,"-22,104,492,503",173.76%,"672,520,507,327","387,035,766,375","754,917,452,620","674,837,664,997","-22,104,492,503","327,746,263,185","316,321,033,009","-21,513,056,835",-960,70800
-1,0.146772,4.21,0.62,-0.01,2.56,"-3,158,123,553",80.65%,"226,631,772,252","281,015,754,398","333,499,637,082","130,351,774,332","-3,158,123,553","359,300,741,353","362,069,161,176","19,132,031,781","1,007",4240
-1,0.113132,5.29,0.6,0.12,0.52,"-14,284,420,265",171.92%,"31,252,783,657","18,178,742,285","18,340,623,467","35,270,251,830","-14,284,420,265","7,915,115,896","7,058,257,479","3,990,195,809",76,402
0,0.031593,19.43,0.61,46.51%,17.91%,"5,843,715,724",558.21%,"68,067,858,910","12,193,991,048","31,767,563,159","177,393,274,196","5,843,715,724","16,499,765,853","11,261,840,030","5,604,297,297",122,2370
-1,0.105818,10.23,1.08,1.58,0.02,"2,899,075,288",3791.82%,"41,466,814,638","1,093,586,650","1,608,016,614","92,752,027,670","2,899,075,288","11,964,541,000","4,633,457,835","9,814,846,296",145,1484
-1,-0.207608,-2.3,0.48,0,2.65,"45,818,219,650",92.12%,"303,115,648,929","329,033,474,110","543,867,015,914","204,910,265,513","45,818,219,650","304,601,104,163","305,860,581,715","-42,540,933,652","-1,247.00",2865
1,0.008686,27.24,0.24,-0.5,0.26,"-2,399,658,881",65.96%,"7,761,476,902","11,766,748,009","42,948,409,776","167,970,634,234","-2,399,658,881","2,762,622,628","5,523,597,299","1,459,039,851",25,681
-1,-0.002608,-212.35,0.55,0.08,0.93,"-17,112,490,056",142.09%,"151,551,848,619","106,657,285,727","133,653,308,332","143,337,376,113","-17,112,490,056","248,756,402,850","231,156,072,318","-373,752,510",-17,3610
1,0.003068,246.45,0.76,-0.27,0.95,"-944,167,710",157.66%,"267,644,542,511","169,758,063,406","173,286,968,958","181,777,246,999","-944,167,710","140,966,947,452","193,140,720,119","557,681,727",31,7640
-1,0.016758,16.79,0.28,0.08,0.15,"180,997,897",782.46%,"68,300,672,080","8,728,940,162","15,713,787,779","102,985,140,249","180,997,897","23,359,292,187","21,682,936,386","1,725,830,006",94,1578
0,-0.022584,-16.21,0.37,235.16%,84.53%,"19,880,863,307",131.65%,"305,482,598,815","232,050,283,470","262,960,938,990","311,079,769,995","19,880,863,307","130,928,251,512","39,063,910,375","-7,025,540,581",-195,3160
1,-0.007985,-188.69,1.51,0.15,1.18,"-472,254,183",74.11%,"84,693,876,405","114,281,274,933","205,100,280,969","174,358,972,544","-472,254,183","108,586,888,757","94,200,082,468","-1,392,218,626",-84,15850
-1,-0.000733,-1212.5,0.89,0.01,0.82,"-9,166,532,681",137.67%,"213,099,171,054","154,789,425,592","160,173,285,292","195,505,849,234","-9,166,532,681","112,927,958,046","111,968,493,210","-143,350,456",-2,2425
-1,-0.01021,-97.42,0.99,-0.26,1.82,"3,814,926,600",110.18%,"147,871,094,606","134,204,268,762","164,634,633,361","90,405,782,452","3,814,926,600","206,783,395,007","279,708,008,700","-923,059,258",-12,1169
1,-0.024239,-7.58,0.18,0,1.18,"1,504,870,799",62.24%,"196,123,101,092","315,093,806,954","433,209,375,057","368,159,149,386","1,504,870,799","223,097,142,913","223,309,356,720","-8,923,834,524",-416,3155
-1,0.048001,13.19,0.63,-0.02,1.2,"16,608,184,964",112.40%,"149,259,027,518","132,787,985,746","155,597,840,281","129,981,812,058","16,608,184,964","238,464,047,109","244,055,660,704","6,239,298,318",423,5580
0,0.021061,54.09,1.14,-4.53%,59.91%,"2,181,489,186",173.93%,"39,699,255,011","22,825,348,447","30,160,693,728","50,344,415,734","2,181,489,186","28,345,692,916","29,691,904,203","1,060,309,199",66,3570
-1,-0.050296,-17.33,0.87,0.14,2.45,"-1,354,262,623",71.34%,"506,214,727,069","709,595,097,644","1,271,871,914,395","519,085,133,092","-1,354,262,623","554,898,754,322","487,132,175,595","-26,107,707,136",-644,11160
-1,-0.009851,-146.52,1.44,4.92,1,"-2,976,504,228",116.48%,"27,436,231,328","23,554,201,267","24,611,703,013","24,608,230,617","-2,976,504,228","32,220,282,714","5,443,380,723","-242,411,677",-33,4835
0,0.032865,29.21,0.96,1.72%,67.72%,"19,400,755,581",189.00%,"195,671,843,307","103,529,700,255","211,040,104,813","311,634,788,946","19,400,755,581","126,485,915,760","124,342,116,837","10,241,873,796",468,13670
1,-0.084399,-91.07,7.69,0.79,0.65,"-3,049,091,619",248.91%,"32,512,795,835","13,061,982,091","13,386,234,864","20,560,022,010","-3,049,091,619","2,885,309,027","1,616,031,804","-1,735,251,654",-112,10200
-1,-0.053848,-12.12,0.65,0.22,0.26,"-7,603,858,141",173.20%,"47,242,444,197","27,275,968,364","30,666,555,443","119,733,664,538","-7,603,858,141","42,598,114,089","34,934,576,454","-6,447,433,363",-107,1297
-1,0.118903,7.98,0.95,0.04,0.95,"-1,252,597,113",158.30%,"169,488,258,841","107,066,902,856","114,852,315,703","121,382,511,134","-1,252,597,113","97,241,412,692","93,472,464,887","14,432,768,183",387,3090
-1,0.014068,77.94,1.1,0.14,0.95,"-8,573,138,927",189.98%,"92,148,843,997","48,503,875,205","52,419,530,970","55,205,377,234","-8,573,138,927","86,644,511,952","76,078,745,396","776,627,040",136,10600
1,-0.131492,-19.19,2.52,-0.32,0.73,"-4,040,541,798",92.06%,"12,642,158,547","13,732,395,029","17,319,116,513","23,608,715,252","-4,040,541,798","6,112,638,005","8,951,310,574","-3,104,356,033",-166,3185
0,0.242025,19.96,4.83,-4.11%,154.50%,"-3,210,855,341",146.47%,"19,053,733,775","13,008,214,264","13,413,719,664","8,681,765,381","-3,210,855,341","8,862,378,952","9,241,895,714","2,101,204,440",135,2695
1,-0.201402,-7.47,1.5,0.39,1.46,"2,951,028,974",89.90%,"92,469,484,305","102,852,855,820","120,471,595,840","82,430,512,145","2,951,028,974","48,657,964,727","35,026,958,766","-16,601,676,491",-334,2495
-1,0.064603,16.16,1.04,0.4,0.06,"9,734,840,654",795.83%,"69,528,086,759","8,736,514,748","9,161,280,304","156,438,824,142","9,734,840,654","48,062,673,481","34,295,740,416","10,106,477,139",724,11700
-1,-0.008611,-110.44,0.95,0.06,0.09,"927,712,875",632.13%,"56,588,361,232","8,952,064,230","10,299,314,045","119,732,814,825","927,712,875","22,463,760,636","21,289,116,696","-1,030,983,203",-16,1767
-1,0.051729,31.49,1.63,-0.03,0.54,"1,094,760,695",135.77%,"46,039,495,833","33,909,678,668","39,164,931,514","72,327,637,202","1,094,760,695","14,966,481,050","15,454,152,915","3,741,403,564",45,1417
-1,-0.07748,-130.98,10.15,0.2,0.14,"-1,957,911,053",770.24%,"29,866,363,596","3,877,549,724","8,373,235,125","58,582,327,158","-1,957,911,053","4,014,360,274","3,336,927,498","-4,538,969,855",-205,26850
1,-0.25438,-10.61,2.7,-0.06,0.09,"-11,434,789,011",1307.79%,"47,095,392,610","3,601,143,204","4,636,117,036","50,970,638,006","-11,434,789,011","4,098,327,426","4,377,386,791","-12,965,891,100",-431,4575
1,-0.439838,-71.93,31.64,-0.67,1.27,"-35,884,414,550",154.55%,"36,139,079,897","23,383,411,119","67,555,404,145","53,155,495,150","-35,884,414,550","16,379,131,764","48,971,623,228","-23,379,819,843",-488,35100
1,-0.48522,-14.23,6.91,-0.45,2.44,"-715,698,654",41.22%,"3,639,153,425","8,827,896,203","9,552,153,584","3,914,661,107","-715,698,654","2,788,779,249","5,057,288,805","-1,899,471,197",-273,3885
-1,0.000385,-672,-0.26,-0.04,0.4,"1,855,094,832",261.54%,"46,942,529,490","17,948,502,340","28,052,122,905","70,973,539,015","1,855,094,832","13,525,676,400","14,062,290,411","27,345,117",-2,1344
-1,0.022764,35.59,0.81,0.25,0.13,"3,703,758,369",559.51%,"47,932,265,606","8,566,847,812","8,879,887,882","68,151,285,504","3,703,758,369","14,161,185,995","11,353,099,895","1,551,422,756",222,7900
-1,-0.569349,-6.24,3.55,-0.31,2.17,"-2,815,920,610",116.35%,"21,060,847,666","18,101,789,203","21,283,139,550","9,816,821,359","-2,815,920,610","71,055,726","103,055,370","-5,589,196,414",-329,2053
-1,-0.217524,-17.37,3.78,65.9,0.76,"-6,027,718,758",2658.67%,"57,514,825,653","2,163,292,907","38,190,861,756","50,565,655,993","-6,027,718,758","1,757,559,435","26,272,450","-10,999,268,111",-471,8180
1,-0.539028,-14.05,7.57,0.12,1.73,"-4,439,080,309",51.23%,"23,777,768,626","46,412,076,682","47,986,323,365","27,667,504,582","-4,439,080,309","48,757,543,895","43,614,594,436","-14,913,569,421",-128,1798
1,-0.54477,-12.3,6.7,0,0.67,"-3,336,147,035",239.28%,"9,802,824,737","4,096,797,445","8,501,609,838","12,729,325,132","-3,336,147,035","2,111,587,364","2,105,272,289","-6,934,558,989",-283,3480
-1,0.027767,38.41,1.07,-0.09,0.04,"4,497,342,553",635.75%,"11,347,698,403","1,784,929,340","3,122,023,384","74,356,434,913","4,497,342,553","6,552,083,162","7,222,253,152","2,064,628,062",132,5070
-1,-0.069488,-7.53,0.52,1.54,0.41,"-5,076,287,375",375.33%,"93,488,028,812","24,908,517,250","45,711,766,519","112,485,053,029","-5,076,287,375","15,888,712,554","6,259,879,101","-7,816,372,101",-434,3270
-1,-0.210017,-25.39,5.33,10.53,0.25,"-10,911,385,708",662.91%,"25,100,372,025","3,786,413,194","5,911,788,059","23,283,978,868","-10,911,385,708","4,229,844,449","366,764,536","-4,890,027,050",-219,5560
1,-0.681507,-19.77,13.47,0.18,2.5,"-12,648,092,195",90.50%,"28,298,750,759","31,267,983,307","66,104,748,282","26,397,220,277","-12,648,092,195","5,368,129,621","4,533,211,778","-17,989,887,590","-1,090",21550
-1,-0.063229,-18.22,1.15,-0.16,0.92,"-45,443,209",64.62%,"31,843,498,502","49,279,509,423","49,966,436,939","54,334,215,068","-45,443,209","4,840,152,176","5,756,094,275","-3,435,497,016",-143,2605
0,0.03786,57.4,2.17,36.86%,60.21%,"47,561,184,212",201.24%,"168,872,268,819","83,914,955,416","98,070,298,366","162,884,774,747","47,561,184,212","133,456,833,369","97,513,110,608","6,166,795,804",52,2985
