Date,307930.KS Forecasted,053280.KS Forecasted,036000.KS Forecasted,226950.KS Forecasted,418470.KS Forecasted,291650.KS Forecasted,127120.KS Forecasted,099440.KS Forecasted,298380.KS Forecasted,255220.KS Forecasted,039560.KS Forecasted,115610.KS Forecasted,445680.KS Forecasted,424960.KS Forecasted,088800.KS Forecasted,220100.KS Forecasted,207760.KS Forecasted,067310.KS Forecasted,403870.KS Forecasted,226400.KS Forecasted,021080.KS Forecasted,115180.KS Forecasted,039020.KS Forecasted,050110.KS Forecasted,038460.KS Forecasted,019570.KS Forecasted,027830.KS Forecasted,317770.KS Forecasted,109670.KS Forecasted,043610.KS Forecasted,317530.KS Forecasted,256630.KS Forecasted,290090.KS Forecasted,028080.KS Forecasted,079940.KS Forecasted,314130.KS Forecasted,319400.KS Forecasted,053450.KS Forecasted,293780.KS Forecasted,090710.KS Forecasted,070300.KS Forecasted,039310.KS Forecasted,304840.KS Forecasted,205100.KS Forecasted,041440.KS Forecasted,399720.KS Forecasted,149950.KS Forecasted,057030.KS Forecasted,315640.KS Forecasted
2024-10-11,5266.2427,5007.141,2194.9937,17949.83,15175.35,2204.4885,3501.9382,3105.5815,34220.21,2984.0718,3575.9443,3011.4395,24455.602,10613.523,877.2486,21817.703,1369.7982,11540.599,32580.713,5387.6777,2554.749,4353.345,3470.3638,1059.404,3701.582,404.93018,1536.291,3518.132,10451.041,2337.783,4141.7637,1299.531,8123.7607,3076.2917,13523.117,4041.968,2955.7544,5514.436,6936.464,1410.2319,4118.5425,1680.5127,4006.2751,1811.2512,8797.461,39064.742,10831.963,3596.2422,6602.8555
2024-10-14,5263.842,4976.9756,2173.1978,17700.596,15203.788,2209.1355,3506.1133,3109.1638,33872.977,3000.8628,3597.357,2954.9246,24304.91,10605.49,869.1842,21540.95,1363.4374,11500.295,32594.41,5325.064,2550.4104,4320.516,3488.328,1054.2988,3690.4812,403.55673,1534.4135,3512.2742,10439.232,2325.3564,4114.14,1298.6067,8084.5225,3079.099,13550.167,4030.8862,2947.1326,5503.7188,6859.838,1426.9028,4111.7197,1674.0414,3959.0881,1810.5635,8831.604,38853.65,10753.208,3591.8584,6614.769
2024-10-15,5266.463,4948.6055,2149.8733,17436.117,15265.796,2218.3154,3503.1445,3113.3853,33567.273,2989.9707,3609.873,2908.8696,24265.809,10585.339,861.9608,21372.879,1360.968,11505.951,32584.68,5273.2964,2546.8713,4292.356,3497.619,1051.4172,3694.8723,404.29663,1535.9923,3510.929,10480.359,2318.9182,4088.052,1300.751,8056.0854,3083.4495,13575.636,4046.4956,2940.1948,5500.4395,6816.061,1442.0297,4128.3994,1670.4675,3920.8323,1812.2062,8835.589,38723.707,10722.653,3588.739,6645.7686
2024-10-16,5272.9434,4922.338,2126.163,17169.31,15348.197,2230.4177,3494.8809,3118.052,33293.6,2958.3093,3616.7534,2870.6611,24312.088,10557.305,855.3533,21273.43,1361.144,11545.345,32559.148,5229.8535,2544.0918,4267.6226,3500.5776,1050.1631,3710.048,406.39435,1539.8618,3512.877,10561.247,2316.8396,4063.4634,1305.184,8035.97,3088.8413,13598.973,4080.415,2934.4788,5502.6055,6795.556,1455.6761,4162.2783,1668.9069,3889.017,1815.6351,8819.969,38663.254,10726.8,3586.4922,6686.4624
2024-10-17,5282.26,4898.247,2102.8296,16908.26,15441.801,2244.2495,3482.8179,3123.0085,33044.555,2911.6196,3619.9966,2838.3662,24421.594,10524.325,849.2049,21217.695,1363.1022,11608.625,32523.436,5192.839,2541.9685,4245.493,3498.8413,1050.064,3732.2974,409.3485,1545.2113,3517.1992,10670.057,2317.8484,4040.2578,1311.274,8022.1123,3094.8975,13620.067,4126.4717,2929.654,5508.5674,6791.387,1468.0217,4208.017,1668.7013,3861.7957,1820.3376,8791.802,38658.42,10755.073,3584.8516,6731.0815
2024-10-18,5293.5527,4876.286,2080.3625,16657.773,15540.384,2258.9705,3468.1233,3128.1335,32814.496,2854.4192,3620.8623,2810.5386,24576.422,10488.43,843.4084,21189.879,1366.247,11688.165,32481.504,5160.8276,2540.3784,4225.416,3493.5737,1050.758,3758.8481,412.82617,1551.4828,3523.2014,10797.143,2320.9714,4018.2903,1318.5221,8012.8555,3101.3467,13639.059,4180.2,2925.4868,5517.045,6798.6157,1479.2794,4261.4473,1669.38,3837.8472,1825.8828,8755.859,38695.855,10799.521,3583.634,6776.1294
2024-10-21,5306.132,4856.3413,2059.0562,16420.486,15639.855,2274.0122,3451.694,3133.3335,32599.246,2790.1428,3620.1587,2786.0923,24762.63,10451.011,837.8898,21179.902,1370.1677,11778.228,32436.06,5132.758,2539.203,4207.013,3485.5872,1051.9774,3787.7148,416.60684,1558.2952,3530.356,10935.14,2325.4832,3997.4146,1326.5406,8006.9136,3107.9915,13656.1875,4238.415,2921.8125,5527.0923,6813.772,1489.6522,4319.5034,1670.616,3816.2522,1831.9349,8715.352,38763.926,10854.32,3582.7126,6819.552
2024-10-22,5319.46,4838.2705,2039.0691,16197.611,15737.615,2289.0132,3434.207,3138.5386,32395.787,2721.3584,3618.4136,2764.2126,24969.639,10413.004,832.59875,21181.309,1374.583,11874.622,32388.91,5107.8423,2538.3386,4190.0205,3475.449,1053.5284,3817.5283,420.54553,1565.3909,3538.2642,11078.701,2330.8562,3977.4976,1335.0344,8003.307,3114.692,13671.736,4298.887,2918.5166,5538.037,6834.439,1499.3152,4380.025,1672.1884,3796.3843,1838.2462,8672.413,38853.17,10915.3125,3581.9995,6860.211
2024-10-23,5333.133,4821.9224,2020.4686,15989.461,15832.086,2303.734,3416.1658,3143.697,32201.99,2649.9592,3615.9824,2744.291,25189.576,10375.033,827.5008,21189.926,1379.299,11974.3545,32341.236,5085.4995,2537.7012,4174.2485,3463.5645,1055.2762,3847.3743,424.54745,1572.5978,3546.6243,11224.111,2336.7163,3958.4255,1343.7821,8001.314,3121.3538,13685.966,4360.079,2915.518,5549.419,6858.927,1508.4102,4441.5483,1673.9506,3777.8228,1844.642,8628.457,38956.23,10979.588,3581.4329,6897.5522
2024-10-24,5346.8545,4807.1465,2003.259,15795.799,15922.373,2318.0388,3397.9387,3148.7715,32016.371,2577.3462,3613.1074,2725.8752,25416.734,10337.504,822.57153,21203.064,1384.1836,12075.345,32293.809,5065.3003,2537.2256,4159.556,3450.2178,1057.1283,3876.6682,428.55173,1579.8022,3555.2126,11368.882,2342.8066,3940.1016,1352.6196,8000.4097,3127.9148,13699.106,4420.955,2912.7617,5560.929,6886.0537,1517.0479,4503.108,1675.8077,3760.2908,1851.0049,8584.407,39067.62,11045.142,3580.9702,6931.383
