종목명,티커
알테오젠,196170.KS
에코프로비엠,247540.KS
에코프로,086520.KS
HLB,028300.KS
리가켐바이오,141080.KS
엔켐,348370.KS
클래시스,214150.KS
삼천당제약,000250.KS
휴젤,145020.KS
셀트리온제약,068760.KS
리노공업,058470.KS
레인보우로보틱스,277810.KS
실리콘투,257720.KS
HPSP,403870.KS
펄어비스,263750.KS
파마리서치,214450.KS
에스티팜,237690.KS
이오테크닉스,039030.KS
보로노이,310210.KS
대주전자재료,078600.KS
JYP Ent.,035900.KS
에이비엘바이오,298380.KS
서진시스템,178320.KS
솔브레인,357780.KS
원익IPS,240810.KS
에스엠,041510.KS
펩트론,087010.KS
피엔티,137400.KS
테크윙,089030.KS
동진쎄미켐,005290.KS
중앙첨단소재,051980.KS
오스코텍,039200.KS
카카오게임즈,293490.KS
CJ ENM,035760.KS
HK이노엔,195940.KS
메디톡스,086900.KS
신성델타테크,065350.KS
파크시스템스,140860.KS
제이앤티씨,204270.KS
브이티,018290.KS
ISC,095340.KS
주성엔지니어링,036930.KS
씨젠,096530.KS
LS머트리얼즈,417200.KS
솔브레인홀딩스,036830.KS
HLB생명과학,067630.KS
위메이드,112040.KS
나노신소재,121600.KS
루닛,328130.KS
레이크머티리얼즈,281740.KS
스튜디오드래곤,253450.KS
SOOP,067160.KS
와이씨,232140.KS
티씨케이,064760.KS
태성,323280.KS
피에스케이홀딩스,031980.KS
넥슨게임즈,225570.KS
제이시스메디칼,287410.KS
제룡전기,033100.KS
케어젠,214370.KS
차바이오텍,085660.KS
덕산테코피아,317330.KS
국일제지,078130.KS
메지온,140410.KS
에스에프에이,056190.KS
유진테크,084370.KS
파두,440110.KS
코스메카코리아,241710.KS
에코프로에이치엔,383310.KS
씨앤씨인터내셔널,352480.KS
젬백스,082270.KS
에코앤드림,101360.KS
동국제약,086450.KS
바이넥스,053030.KS
포스코엠텍,009520.KS
HLB제약,047920.KS
카페24,042000.KS
성일하이텍,365340.KS
씨아이에스,222080.KS
덕산네오룩스,213420.KS
현대바이오,048410.KS
HLB테라퓨틱스,115450.KS
하나마이크론,067310.KS
고영,098460.KS
더블유씨피,393890.KS
동화기업,025900.KS
바이오니아,064550.KS
와이지엔터테인먼트,122870.KS
바이오다인,314930.KS
피에스케이,319660.KS
네이처셀,007390.KS
원익QnC,074600.KS
천보,278280.KS
제이오,418550.KS
지아이이노베이션,358570.KS
퓨쳐켐,220100.KS
하나머티리얼즈,166090.KS
시노펙스,025320.KS
웹젠,069080.KS
SFA반도체,036540.KS
하림지주,003380.KS
인텔리안테크,189300.KS
원텍,336570.KS
티앤엘,340570.KS
넥스틴,348210.KS
우리기술투자,041190.KS
코미코,183300.KS
티에스이,131290.KS
엠로,058970.KS
심텍,222800.KS
에이프릴바이오,397030.KS
디어유,376300.KS
이녹스첨단소재,272290.KS
에스앤에스텍,101490.KS
성우하이텍,015750.KS
컴투스,078340.KS
안랩,053800.KS
에스피지,058610.KS
서울반도체,046890.KS
두산테스나,131970.KS
가온칩스,399720.KS
기가비스,420770.KS
비올,335890.KS
윤성에프앤씨,372170.KS
클리오,237880.KS
네오셈,253590.KS
영풍정밀,036560.KS
선익시스템,171090.KS
메가스터디교육,215200.KS
아이센스,099190.KS
이엠텍,091120.KS
LS마린솔루션,060370.KS
지씨셀,144510.KS
뷰노,338220.KS
에프에스티,036810.KS
유일로보틱스,388720.KS
펌텍코리아,251970.KS
필옵틱스,161580.KS
코아스템켐온,166480.KS
데브시스터즈,194480.KS
툴젠,199800.KS
유바이오로직스,206650.KS
한중엔시에스,107640.KS
제주반도체,080220.KS
비츠로셀,082920.KS
아이티엠반도체,084850.KS
네오위즈,095660.KS
디앤디파마텍,347850.KS
큐로셀,372320.KS
다우데이타,032190.KS
소룩스,290690.KS
