Ticker,Return_rate,Volume_Change_Rate,Original_Ticker
컴퍼니케이,29.98,52011.941,307930.KS
예스24,29.807,437.154,053280.KS
예림당,29.792,286.185,036000.KS
올릭스,24.826,383.477,226950.KS
밀리의서재,23.627,57905.033,418470.KS
압타머사이언스,23.493,1397.709,291650.KS
디엔에이링크,17.268,389.52,127120.KS
스맥,16.667,5148.303,099440.KS
에이비엘바이오,15.385,354.421,298380.KS
SG,14.629,259.553,255220.KS
다산네트웍스,14.241,17148.156,039560.KS
이미지스,12.987,866.557,115610.KS
큐리옥스바이오시스템즈,12.978,1961.788,445680.KS
스마트레이더시스템,9.412,444.863,424960.KS
에이스테크,9.286,1008.476,088800.KS
퓨쳐켐,9.125,174.496,220100.KS
미스터블루,8.61,8719.012,207760.KS
하나마이크론,8.513,409.502,067310.KS
HPSP,8.32,458.916,403870.KS
오스테오닉,6.83,364.831,226400.KS
에이티넘인베스트,6.54,24765.987,021080.KS
큐리언트,6.339,277.875,115180.KS
이건홀딩스,6.181,450.243,039020.KS
캠시스,6.159,13646.549,050110.KS
바이오스마트,6.094,847.588,038460.KS
플루토스,5.97,421.479,019570.KS
대성창투,5.728,7521.568,027830.KS
엑스페릭스,5.566,156.502,317770.KS
씨싸이트,5.283,385.623,109670.KS
지니뮤직,5.155,2127.862,043610.KS
캐리소프트,5.148,387.434,317530.KS
포인트엔지니어링,5.06,278.881,256630.KS
트윔,4.937,1035.054,290090.KS
휴맥스홀딩스,4.887,765.055,028080.KS
가비아,4.755,791.72,079940.KS
지놈앤컴퍼니,4.587,247.056,314130.KS
현대무벡스,4.523,1344.884,319400.KS
세코닉스,4.301,16087.795,053450.KS
압타바이오,4.279,268.809,293780.KS
휴림로봇,4.241,616.518,090710.KS
엑스큐어,4.24,324.037,070300.KS
세중,4.183,222.985,039310.KS
피플바이오,4.167,163.926,304840.KS
엑셈,4.075,8922.131,205100.KS
현대에버다임,4.058,181.756,041440.KS
가온칩스,3.791,148.539,399720.KS
아바텍,3.761,200.82,149950.KS
YBM넷,3.501,228.439,057030.KS
딥노이드,3.417,652.718,315640.KS
