종목명,티커
삼성전자,005930.KS
SK하이닉스,000660.KS
LG에너지솔루션,373220.KS
삼성바이오로직스,207940.KS
현대차,005380.KS
셀트리온,068270.KS
기아,000270.KS
KB금융,105560.KS
POSCO홀딩스,005490.KS
신한지주,055550.KS
NAVER,035420.KS
삼성SDI,006400.KS
LG화학,051910.KS
삼성물산,028260.KS
현대모비스,012330.KS
포스코퓨처엠,003670.KS
삼성생명,032830.KS
메리츠금융지주,138040.KS
하나금융지주,086790.KS
HD현대중공업,329180.KS
카카오,035720.KS
고려아연,010130.KS
한화에어로스페이스,012450.KS
삼성화재,000810.KS
LG전자,066570.KS
크래프톤,259960.KS
KT&G,033780.KS
HD한국조선해양,009540.KS
한국전력,015760.KS
유한양행,000100.KS
HMM,011200.KS
LG,003550.KS
SK텔레콤,017670.KS
우리금융지주,316140.KS
SK이노베이션,096770.KS
두산에너빌리티,034020.KS
HD현대일렉트릭,267260.KS
SK스퀘어,402340.KS
기업은행,024110.KS
삼성에스디에스,018260.KS
SK,034730.KS
한미반도체,042700.KS
카카오뱅크,323410.KS
KT,030200.KS
삼성전기,009150.KS
포스코인터내셔널,047050.KS
한화오션,042660.KS
삼성중공업,010140.KS
SK바이오팜,326030.KS
현대글로비스,086280.KS
에코프로머티,450080.KS
DB손해보험,005830.KS
대한항공,003490.KS
아모레퍼시픽,090430.KS
하이브,352820.KS
S-Oil,010950.KS
현대로템,064350.KS
HD현대,267250.KS
SKC,011790.KS
한진칼,180640.KS
LG생활건강,051900.KS
LIG넥스원,079550.KS
LG디스플레이,034220.KS
한국항공우주,047810.KS
미래에셋증권,006800.KS
맥쿼리인프라,088980.KS
넷마블,251270.KS
코웨이,021240.KS
HD현대마린솔루션,443060.KS
삼성카드,029780.KS
LG이노텍,011070.KS
LS ELECTRIC,010120.KS
한국타이어앤테크놀로지,161390.KS
포스코DX,022100.KS
NH투자증권,005940.KS
현대오토에버,307950.KS
삼성E&A,028050.KS
LG유플러스,032640.KS
롯데케미칼,011170.KS
엘앤에프,066970.KS
CJ제일제당,097950.KS
SK바이오사이언스,302440.KS
엔씨소프트,036570.KS
한국가스공사,036460.KS
한국금융지주,071050.KS
한미약품,128940.KS
금호석유,011780.KS
