Date,Forecasted,Actual Prices
2024-10-11,4499.626465,5850.0
2024-10-14,4487.567383,5850.0
2024-10-15,4487.205078,5930.0
2024-10-16,4494.231445,5410.0
2024-10-17,4505.829102,5500.0
2024-10-18,4520.145996,5200.0
2024-10-21,4535.957031,4950.0
2024-10-22,4552.444824,5070.0
2024-10-23,4569.052734,4875.0
2024-10-24,4585.399902,4835.0
2024-10-25,4601.21875,5090.0
2024-10-28,4616.324707,5090.0
2024-10-29,4630.585449,4965.0
2024-10-30,4643.915039,5110.0
2024-10-31,4656.256836,4945.0
2024-11-01,4667.582031,4830.0
2024-11-04,4677.881836,4870.0
2024-11-05,4687.165527,4875.0
2024-11-06,4695.45459,4780.0
2024-11-07,4702.785156,4780.0
2024-11-08,4709.199219,4735.0
2024-11-11,4714.748047,4615.0
2024-11-12,4719.487793,4480.0
2024-11-13,4723.477539,4335.0
2024-11-14,4726.779297,4305.0
2024-11-15,4729.455078,4290.0
2024-11-18,4731.567383,4425.0
2024-11-19,4733.177246,
